name,seed,stage,evaluation_rms,iteration_rms,mesh_rms,bias_proxy_rms,total_rms,triangle_bound_rms,closure_max,fine_factor,fine_successive_difference_rms,checkpoint_sha256,finite_box_policy_value_error,true_greedy_gap_on_lattice,next_policy_value_error,api_right_hand_side,api_slack,neural_evaluation_mismatch_domain,policy_boundary_bracket_width_domain,neural_vs_bellman_reference_domain,bellman_residual_complete_lattice_max,geometric_strip_factor,computed_lattice_residual_bound,bound_scope
boundary_decay_1d,3,4,0.022219836035557244,0.018146533204944585,0.001775940598078643,6.746431762740232e-05,0.005012894613704681,0.04220977415620787,0.0,1024,1.0733238233013153e-06,b81c76c94161b7adccee07f65d0ba9072ffe70d81a0bb07d3ed6b5f2559e0c22,0.04413964462600206,2.4661817141585662,0.04175035685729786,2.5097275519061917,2.467977195048894,0.04953725648647486,0.0,0.010476114195545227,0.3318174867539049,0.010848036468793633,0.46199392437942843,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,3,5,0.020393601614157063,0.016967828962242075,0.001775940598078643,6.746431762740232e-05,0.0038810234563320433,0.03920483549210518,0.0,1024,1.0733238233013153e-06,d68fd04380cd39f545945ac7c3cf322f9a2afcb7f4a4ea4888af62cbf4f3c253,0.04175035685729786,2.6081173703793574,0.03702952534114454,2.6493060632430594,2.612276537901915,0.04624594486696912,0.0,0.00869124809953975,0.26924038078111645,0.010848036468793633,0.39941681840664,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,3,6,0.01608820974342606,0.014792623934779162,0.001775940598078643,6.746431762740232e-05,0.002664205080134651,0.03272423859391126,0.0,1024,1.0733238233013153e-06,78566e51b7e49d01fcb6f9422d23030a2245a805ed5de6e78b757482c3857bf9,0.03702952534114454,0.4050532872377148,0.037029524990564194,0.4415846575294269,0.40455513253886266,0.036569005617259176,0.0,0.0062442512035241204,0.2041047007985568,0.010848036468793633,0.33428113842408036,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,3,7,0.014058361000842217,0.014626354959532817,0.001775940598078643,6.746431762740232e-05,0.003104655906529159,0.03052812087608108,0.0,1024,1.0733238233013153e-06,6024d27571892823fb4f7177dc3e152684825da3f525b0781b38047b941f5947,0.037029524990564194,2.3498935483119636,0.034706230603389815,2.386424918257812,2.3517186876544223,0.031844272549331976,0.0,0.009341252413975015,0.21719506179755,0.010848036468793633,0.34737149942307355,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,0,0.011695596757586343,0.3848718548549917,0.001775940598078643,6.746431762740232e-05,0.38368651090087175,0.39841085652828406,1.1102230246251565e-16,1024,1.0733238233013153e-06,166d7fda561cbb350f32c19a92570d3fc0ff8e6f743c6a257186f5c4495dcc43,0.46854708104508425,0.17326015379547738,0.1868253105237298,0.6355039108803138,0.44867860035658397,0.047365754365754964,0.0,0.47587438718084246,0.5988122079359537,0.010848036468793633,0.7289886455614772,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,1,0.026166814558514488,0.07565507863351523,0.001775940598078643,6.746431762740232e-05,0.0643216788817266,0.10366529810773577,0.0,1024,1.0733238233013153e-06,e0a9244aa1bb16c31080a8dc54f2068e41199c8b6a24c5bb4a488d87ac8e91ef,0.1868253105237298,1.4441474076093197,0.08548018143220115,1.6284593731484254,1.542979191716224,0.06345472375480266,0.0,0.12793162725000304,0.3578405651465051,0.010848036468793633,0.48801700277202864,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,2,0.026685238136848925,0.04967862216523535,0.001775940598078643,6.746431762740232e-05,0.05384967512601842,0.07820726521779033,0.0,1024,1.0733238233013153e-06,a5c66cbb637e4dffb775457baf642d9d34fd0b81a25e15102d358d465958ee11,0.08548018143220115,2.1430856141238337,0.06864103813128242,2.2274158379582922,2.1587747998270097,0.0378383889376076,0.0,0.09780987597064678,0.3519915260858887,0.010848036468793633,0.48216796371141224,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,3,0.0219045164245569,0.03277343412291443,0.001775940598078643,6.746431762740232e-05,0.022800837091765364,0.05652135546317738,0.0,1024,1.0733238233013153e-06,b6f7514e6c1dd19a394d8e3c9628c14fd5994b14e73b426f952a06edea57c5f7,0.06864103813128242,0.03840548681075899,0.03239097958684245,0.10612310290440083,0.07373212331755838,0.04996298297882357,0.0,0.054394591559918576,0.28228867532255064,0.010848036468793633,0.4124651129480742,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,4,0.015269401072209187,0.01331273790205405,0.001775940598078643,6.746431762740232e-05,0.02437628962740228,0.03042554388996928,0.0,1024,1.0733238233013153e-06,ddceb1c5038b76a4b52d0f2b783024b213d79fb81b5459517f0bd7ae3bbd614a,0.03239097958684245,0.5901992126786734,0.013347769125520492,0.6221544391769036,0.6088066700513831,0.03382743585900465,0.0,0.04644173331333126,0.21033508152965097,0.010848036468793633,0.3405115191551745,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,5,0.018527381719261292,0.003198590568439641,0.001775940598078643,6.746431762740232e-05,0.019194207480105422,0.023569377203406978,0.0,1024,1.0733238233013153e-06,22035b2627f4e1011afb2ef832d991f79a3abd0ee88c7f1f03de70fb94dccbc0,0.013347769125520492,0.8645606346787349,0.02558431525978916,0.8777288374034636,0.8521445221436745,0.04253383642916693,0.0,0.040549993849719565,0.12144916688824248,0.010848036468793633,0.25162560451376603,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,6,0.01307544658757988,0.010253435148837739,0.001775940598078643,6.746431762740232e-05,0.019520244045767958,0.025172286652123663,0.0,1024,1.0733238233013153e-06,7205e369a86a40e548cf8da2412c3a0565f3c1999fad2d925926a21ca6b6b772,0.02558431525978916,0.6562624825129297,0.013088713401583019,0.6815026141593585,0.6684139007577755,0.030731163760581354,0.0,0.03505139351121511,0.14002306424552113,0.010848036468793633,0.2701995018710447,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,4,7,0.010461800280044157,0.0031139069870905972,0.001775940598078643,6.746431762740232e-05,0.010452161536498344,0.015419112182840799,0.0,1024,1.0733238233013153e-06,f8ad1592ec484a8b2b72fc1cf466ac849c816d55855717846cb4dd37b117fea4,0.013088713401583019,0.8470699720361667,0.013034581190578653,0.8599826040915401,0.8469480229009615,0.026085201929522253,0.0,0.026061400938726734,0.1705816271475742,0.010848036468793633,0.30075806477309774,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,5,0,0.017472877627988024,0.3848718548549917,0.001775940598078643,6.746431762740232e-05,0.3824652915684032,0.40418813739868575,1.1102230246251565e-16,1024,1.0733238233013153e-06,17a4dde611fee15298d55371352dbb0d1221a6a012c8f55c41ac07f6d258e1cc,0.46854708104508425,0.002576049785655658,0.1868253105237298,0.4648198068704921,0.2779944963467623,0.06676024158373517,0.0,0.4672298756302647,0.5944076919954013,0.010848036468793633,0.7245841296209249,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,5,1,0.014349333768222786,0.07562585608139025,0.001775940598078643,6.746431762740232e-05,0.07936456736867004,0.09181859476531908,0.0,1024,1.0733238233013153e-06,996b473ed1a015446f242d9ff57a636b4b057fd0518884dbd946a8e0726564e0,0.1868253105237298,0.05298440839786034,0.11169378861929022,0.23729637393696595,0.12560258531767574,0.03578930476935749,0.0,0.15667065714474376,0.4095471825443969,0.010848036468793633,0.5397236201699205,one_lattice_coset_double_precision_not_outward_rounded
